date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:56	39738/39738	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd35-9b3a%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/index.html	(from )
12:06:57	178/178	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Sep%202018%2004:06:57%20GMT	https://demo.bootstrapious.com/robots.txt		(from )
12:07:00	140936/140936	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2006:10:25%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/bootstrap/css/bootstrap.min.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/bootstrap/css/bootstrap.min.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:00	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2006:13:37%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/font-awesome/css/font-awesome.min.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:01	2226/2226	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2006:07:11%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/fontastic.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/fontastic.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:01	139/139	---M--	200	added ('OK')	text/css	etag:%225b5ffc8f-8b%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/grasp_mobile_progress_circle-1.0.0.min.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/grasp_mobile_progress_circle-1.0.0.min.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:02	54850/54850	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2006:16:41%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:02	25/25	---M--	200	added ('OK')	text/css	etag:%225b5ffc8f-19%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/custom.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/custom.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:03	81921/81921	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2006:07:16%20GMT	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/style.default.premium.css	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/css/style.default.premium.css	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:03	29217/29217	---MCZ	200	added ('OK')	text/html	etag:W/%225b60026d-7221%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/pages-profile.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/pages-profile.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:03	85662/85662	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb7-14e9e%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-7.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-7.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:03	38816/38816	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffcaa-97a0%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:04	30374/30374	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffca6-76a6%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms-advanced.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms-advanced.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:04	26887/26887	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffca7-6907%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms-autocomplete.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms-autocomplete.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:06	17324/17324	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffca8-43ac%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms-dropzone.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms-dropzone.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:06	17124/17124	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffca8-42e4%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms-texteditor.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms-texteditor.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:07	21711/21711	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffca9-54cf%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/forms-validation.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/forms-validation.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:07	18370/18370	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc88-47c2%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/charts.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/charts.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:07	19428/19428	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc87-4be4%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/charts-gauge-sparkline.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/charts-gauge-sparkline.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:08	22832/22832	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd43-5930%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/tables.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/tables.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:09	60013/60013	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd42-ea6d%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/tables-datatable.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/tables-datatable.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:09	37452/37452	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc89-924c%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-cards.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-cards.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:09	17391/17391	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc88-43ef%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-calendar.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-calendar.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:10	25981/25981	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8a-657d%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-gallery.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-gallery.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:11	19678/19678	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8b-4cde%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-loading-buttons.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-loading-buttons.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:11	23660/23660	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8c-5c6c%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-map.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-map.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:11	17662/17662	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8d-44fe%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-notifications.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-notifications.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	23290/23290	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffc8d-5afa%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/components-preloader.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/components-preloader.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	27080/27080	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd3e-69c8%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/pages-contacts.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/pages-contacts.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:15	6142/6142	---M--	200	added ('OK')	text/html	etag:%225b5ffd3d-17fe%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/login.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/login.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	20427/20427	---MCZ	200	added ('OK')	text/html	etag:W/%225b5ffd3f-4fcb%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/pages-pricing.html	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/pages-pricing.html	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	3854/3854	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcae-f0e%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-1.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-1.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:16	25528/25528	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb2-63b8%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-2.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-2.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:17	12372/12372	---M--	200	added ('OK')	image/jpeg	etag:%225b5ffcb3-3054%22	https://d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-3.jpg	C:/Users/jethro/Desktop/demo/d19m59y37dris4.cloudfront.net/dashboard-premium/1-4-4/img/avatar-3.jpg	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
12:07:17	307/307	---M--	200	added ('OK')	image/png	etag:%225b5ffcd9-133%22	https://demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/GB.png	C:/Users/jethro/Desktop/demo/demo.bootstrapious.com/dashboard-premium/1-4-4/img/flags/16/GB.png	(from https://demo.bootstrapious.com/dashboard-premium/1-4-4/index.html)
